date,tag,team,kind,market,open_ml,close_ml,clv_pts,won,profit_1u,slip_id,slip_odds,slip_result,joint_prob,correlation,line,edge_pct,home,away,pick,pitcher,home_pitcher,away_pitcher,odds,model_prob,edge,qualifies,timestamp,kelly_stake_pct,abbr_home,abbr_away,abbr_pick,c_team_edge,c_pitcher_fip_edge,c_pitcher_era_edge,c_pitcher_whip_edge,c_pitcher_k9_edge,c_offense_edge,c_bullpen_edge,c_season_form_edge,c_h2h_edge,c_weather_edge,c_rest_edge,c_lineup_edge,c_injury_edge,c_fatigue_edge,slip_leg_num,slip_leg_count
,,,,,,,,,,,,,,,,,Miami Marlins,Seattle Mariners,Seattle Mariners,TBD,Janson Junk,Bryce Miller,-110.0,100.0,47.6,True,2026-07-09T18:02:36.285124,24.99,MIA,SEA,SEA,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,Miami Marlins,Seattle Mariners,Seattle Mariners,,Janson Junk,Bryce Miller,-110.0,100.0,47.6,,2026-07-09T18:02:36.291855,,MIA,SEA,SEA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Cincinnati Reds,Philadelphia Phillies,Philadelphia Phillies,TBD,Brady Singer,Jesús Luzardo,-144.0,100.0,41.0,True,2026-07-09T18:02:40.467412,25.0,CIN,PHI,PHI,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,Cincinnati Reds,Philadelphia Phillies,Philadelphia Phillies,,Brady Singer,Jesús Luzardo,-144.0,100.0,41.0,,2026-07-09T18:02:40.474048,,CIN,PHI,PHI,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,St. Louis Cardinals,Milwaukee Brewers,Milwaukee Brewers,TBD,Andre Pallante,Logan Henderson,-113.0,100.0,46.7,True,2026-07-09T18:02:44.642291,25.0,STL,MIL,MIL,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,St. Louis Cardinals,Milwaukee Brewers,Milwaukee Brewers,,Andre Pallante,Logan Henderson,-113.0,100.0,46.7,,2026-07-09T18:02:44.648824,,STL,MIL,MIL,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Texas Rangers,Los Angeles Angels,Los Angeles Angels,TBD,Nathan Eovaldi,Reid Detmers,132.0,63.4,20.3,True,2026-07-09T18:02:48.780163,8.92,TEX,LAA,LAA,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,Texas Rangers,Los Angeles Angels,Los Angeles Angels,,Nathan Eovaldi,Reid Detmers,132.0,63.4,20.3,,2026-07-09T18:02:48.787051,,TEX,LAA,LAA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,San Diego Padres,Arizona Diamondbacks,San Diego Padres,TBD,Griffin Canning,Merrill Kelly,-126.0,93.1,37.4,True,2026-07-09T18:02:53.444114,21.12,SD,ARI,SD,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,San Diego Padres,Arizona Diamondbacks,San Diego Padres,,Griffin Canning,Merrill Kelly,-126.0,93.1,37.4,,2026-07-09T18:02:53.450716,,SD,ARI,SD,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,San Francisco Giants,Colorado Rockies,San Francisco Giants,TBD,Carson Whisenhunt,Ryan Feltner,-126.0,89.8,34.1,True,2026-07-09T18:02:57.915035,19.25,SF,COL,SF,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,San Francisco Giants,Colorado Rockies,San Francisco Giants,,Carson Whisenhunt,Ryan Feltner,-126.0,89.8,34.1,,2026-07-09T18:02:57.921794,,SF,COL,SF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Pittsburgh Pirates,Milwaukee Brewers,Pittsburgh Pirates,TBD,TBD,TBD,-142.0,54.7,-3.9,True,2026-07-09T18:03:01.213907,0.0,PIT,MIL,PIT,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,Pittsburgh Pirates,Milwaukee Brewers,Pittsburgh Pirates,,TBD,TBD,-142.0,54.7,-3.9,,2026-07-09T18:03:01.220446,,PIT,MIL,PIT,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Washington Nationals,New York Yankees,New York Yankees,TBD,TBD,TBD,-136.0,51.9,-5.7,True,2026-07-09T18:03:04.875718,0.0,WSH,NYY,NYY,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,Washington Nationals,New York Yankees,New York Yankees,,TBD,TBD,-136.0,51.9,-5.7,,2026-07-09T18:03:04.882338,,WSH,NYY,NYY,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Baltimore Orioles,Kansas City Royals,Baltimore Orioles,TBD,TBD,TBD,-154.0,82.8,22.2,True,2026-07-09T18:03:08.574910,14.07,BAL,KC,BAL,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,Baltimore Orioles,Kansas City Royals,Baltimore Orioles,,TBD,TBD,-154.0,82.8,22.2,,2026-07-09T18:03:08.581772,,BAL,KC,BAL,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Cincinnati Reds,Chicago Cubs,Chicago Cubs,TBD,TBD,TBD,108.0,82.7,34.6,True,2026-07-09T18:03:11.211218,16.67,CIN,CHC,CHC,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,Cincinnati Reds,Chicago Cubs,Chicago Cubs,,TBD,TBD,108.0,82.7,34.6,,2026-07-09T18:03:11.217791,,CIN,CHC,CHC,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Miami Marlins,Cleveland Guardians,Miami Marlins,TBD,TBD,TBD,-110.0,91.1,38.7,True,2026-07-09T18:03:13.965025,20.32,MIA,CLE,MIA,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,Miami Marlins,Cleveland Guardians,Miami Marlins,,TBD,TBD,-110.0,91.1,38.7,,2026-07-09T18:03:13.971682,,MIA,CLE,MIA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Tampa Bay Rays,Seattle Mariners,Tampa Bay Rays,TBD,TBD,TBD,-108.0,80.9,29.0,True,2026-07-09T18:03:17.464929,15.07,TB,SEA,TB,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,Tampa Bay Rays,Seattle Mariners,Tampa Bay Rays,,TBD,TBD,-108.0,80.9,29.0,,2026-07-09T18:03:17.471564,,TB,SEA,TB,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,New York Mets,Boston Red Sox,Boston Red Sox,TBD,TBD,TBD,136.0,67.6,25.2,True,2026-07-09T18:03:21.109730,10.93,NYM,BOS,BOS,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,New York Mets,Boston Red Sox,Boston Red Sox,,TBD,TBD,136.0,67.6,25.2,,2026-07-09T18:03:21.116433,,NYM,BOS,BOS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,St. Louis Cardinals,Atlanta Braves,Atlanta Braves,TBD,TBD,TBD,-137.0,62.3,4.4,True,2026-07-09T18:03:23.850605,2.68,STL,ATL,ATL,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,St. Louis Cardinals,Atlanta Braves,Atlanta Braves,,TBD,TBD,-137.0,62.3,4.4,,2026-07-09T18:03:23.857234,,STL,ATL,ATL,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Detroit Tigers,Athletics,Detroit Tigers,TBD,Framber Valdez,José Suarez,-156.0,80.6,19.6,True,2026-07-09T19:50:37.920304,12.56,DET,OAK,DET,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,Detroit Tigers,Athletics,Detroit Tigers,,Framber Valdez,José Suarez,-156.0,80.6,19.6,,2026-07-09T19:50:37.928710,,DET,OAK,DET,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Miami Marlins,Seattle Mariners,Seattle Mariners,TBD,Janson Junk,Bryce Miller,240.0,97.4,68.0,True,2026-07-09T19:50:42.043185,24.08,MIA,SEA,SEA,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,Miami Marlins,Seattle Mariners,Seattle Mariners,,Janson Junk,Bryce Miller,240.0,97.4,68.0,,2026-07-09T19:50:42.050089,,MIA,SEA,SEA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Cincinnati Reds,Philadelphia Phillies,Philadelphia Phillies,TBD,Brady Singer,Jesús Luzardo,-142.0,100.0,41.3,True,2026-07-09T19:50:46.323456,25.0,CIN,PHI,PHI,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,Cincinnati Reds,Philadelphia Phillies,Philadelphia Phillies,,Brady Singer,Jesús Luzardo,-142.0,100.0,41.3,,2026-07-09T19:50:46.330162,,CIN,PHI,PHI,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,St. Louis Cardinals,Milwaukee Brewers,Milwaukee Brewers,TBD,Andre Pallante,Logan Henderson,110.0,100.0,52.6,True,2026-07-09T19:50:50.671876,25.0,STL,MIL,MIL,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,St. Louis Cardinals,Milwaukee Brewers,Milwaukee Brewers,,Andre Pallante,Logan Henderson,110.0,100.0,52.6,,2026-07-09T19:50:50.678571,,STL,MIL,MIL,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Texas Rangers,Los Angeles Angels,Los Angeles Angels,TBD,Nathan Eovaldi,Reid Detmers,134.0,62.3,19.6,True,2026-07-09T19:50:54.998824,8.56,TEX,LAA,LAA,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,Texas Rangers,Los Angeles Angels,Los Angeles Angels,,Nathan Eovaldi,Reid Detmers,134.0,62.3,19.6,,2026-07-09T19:50:55.005435,,TEX,LAA,LAA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,San Diego Padres,Arizona Diamondbacks,San Diego Padres,TBD,Griffin Canning,Merrill Kelly,-130.0,94.1,37.6,True,2026-07-09T19:51:06.624033,21.62,SD,ARI,SD,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,San Diego Padres,Arizona Diamondbacks,San Diego Padres,,Griffin Canning,Merrill Kelly,-130.0,94.1,37.6,,2026-07-09T19:51:06.630797,,SD,ARI,SD,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,San Francisco Giants,Colorado Rockies,San Francisco Giants,TBD,Carson Whisenhunt,Ryan Feltner,-126.0,89.1,33.3,True,2026-07-09T19:51:10.868479,18.83,SF,COL,SF,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,San Francisco Giants,Colorado Rockies,San Francisco Giants,,Carson Whisenhunt,Ryan Feltner,-126.0,89.1,33.3,,2026-07-09T19:51:10.886310,,SF,COL,SF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Detroit Tigers,Philadelphia Phillies,Detroit Tigers,TBD,TBD,TBD,-120.0,88.4,33.9,True,2026-07-09T19:51:13.136575,18.64,DET,PHI,DET,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,Detroit Tigers,Philadelphia Phillies,Detroit Tigers,,TBD,TBD,-120.0,88.4,33.9,,2026-07-09T19:51:13.143295,,DET,PHI,DET,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Pittsburgh Pirates,Milwaukee Brewers,Pittsburgh Pirates,TBD,TBD,TBD,-142.0,60.7,2.0,True,2026-07-09T19:51:16.648483,1.23,PIT,MIL,PIT,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,Pittsburgh Pirates,Milwaukee Brewers,Pittsburgh Pirates,,TBD,TBD,-142.0,60.7,2.0,,2026-07-09T19:51:16.655160,,PIT,MIL,PIT,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Washington Nationals,New York Yankees,New York Yankees,TBD,TBD,TBD,-136.0,52.0,-5.6,True,2026-07-09T19:51:20.541369,0.0,WSH,NYY,NYY,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,Washington Nationals,New York Yankees,New York Yankees,,TBD,TBD,-136.0,52.0,-5.6,,2026-07-09T19:51:20.547879,,WSH,NYY,NYY,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Baltimore Orioles,Kansas City Royals,Baltimore Orioles,TBD,TBD,TBD,-154.0,82.5,21.9,True,2026-07-09T19:51:24.456540,13.88,BAL,KC,BAL,,,,,,,,,,,,,,,,
